folder_name,license_name
stealthtechnologies_employee-attrition-dataset_class,apache-2.0
ivangavrilove88_factorys-salary_reg,CC0-1.0
sandhyakrishnan02_credit-suisse-group-ag-cs-stock-price_ts,CC0-1.0
harbhajansingh21_persistent-vs-nonpersistent_class,GNU Free Documentation License 1.3
aleksandrdubrovin_apple-stock-price-history_ts,CC0-1.0
tuhinsubhrade_advertising-sales_reg,CC0-1.0
liewyousheng_productrelevance_reg,CC0-1.0
yasserh_student-marks-dataset_reg,CC0-1.0
lixuegang_snacks-sales_ts,DbCL-1.0
yashdharme36_airfare-ml-predicting-flight-fares_reg,CC0-1.0
zongaobian_london-weather-data-from-1979-to-2023_reg,CC0-1.0
dhirajnirne_bank-marketing_class,CC0-1.0
prajapatirishabh_air-quality-data2012-to-2024_reg,CC0-1.0
ehan2025_steam-download-bandwidth-usage-by-world-region_ts,MIT
talhabu_us-regional-sales-data_ts,CC0-1.0
namithadeshpande027_walmart-stock-historical-data_ts,CC0-1.0
rawaneid_microsoft-stock-market-2001-2021_ts,ODC Attribution License (ODC-By)
gajjadarahul_airlines-review-data-for-sentiment-analysis_ts,Attribution 4.0 International (CC BY 4.0)
algord_fake-news_class,CC0-1.0
oossiiris_machinehack-ml-merchandise-popularity-prediction_class,CC0-1.0
razanalsuliemanga_goodreads-mystery_reg,CC0-1.0
yasserh_kinematics-motion-data_class,CC0-1.0
harshvir04_index-value-economic-dataset_reg,MIT
fatemehmehrparvar_obesity-levels_class,Attribution 4.0 International (CC BY 4.0)
taranmarley_commodityindices_ts,Attribution 4.0 International (CC BY 4.0)
vainero_google-apple-facebook-stock-price_ts,CC0-1.0
ravi20076_playgrounds4e06originaldata_class,apache-2.0
zeeshanyounas001_iris-flower-dataset_class,apache-2.0
taeefnajib_workers-performance-prediction-data_reg,Attribution 4.0 International (CC BY 4.0)
vipullrathod_daily-min-temperatures_ts,apache-2.0
aimalzd_labeled-amazon-products-reviews-dataset_class,apache-2.0
bletchley_bank-marketing_class,CC0-1.0
mexwell_classification-of-pol-social_class,CC0-1.0
chebilachebilach1_apartment-sales-price-prediction-tunis-tunisia_reg,MIT
farheenshaukat_gender-indicator-for-pakistan_ts,apache-2.0
makindekayode_nigerian-car-prices-dataset_reg,CC0-1.0
diaaessam_lt-fs-id-intrusion-detection-in-wsns_reg,CC BY
andrewabeles_dnd-stats_class,CC-BY-SA-4.0
khinguyntin_hanoiweather1990-2024-data-from-visual-crossing_class,CC0-1.0
wittmannf_curitiba-apartment-prices_reg,CC0-1.0
pranav941_-world-food-wealth-bank_reg,CC0-1.0
prajwaldongre_nvidia-corp-share-price-2000-2024_ts,CC0-1.0
reevebarreto_fantasy-premier-league-player-data-2016-2024_reg,CC0-1.0
gautamchettiar_historical-sentiment-data-btc-eth-bnb-ada_ts,CC0-1.0
ulrikthygepedersen_airplane-bird-strikes_reg,Attribution 4.0 International (CC BY 4.0)
owaiskhan9654_health-insurance-lead-prediction-raw-data_class,GNU Free Documentation License 1.3
midesowunmi_hotels-from-around-the-world_class,MIT
dharinesh_triangle-types-dataset_class,apache-2.0
adebayo_stellar-cryptocurrency-dataset_ts,CC0-1.0
jesseportillo_iowa-pop-data_reg,DbCL-1.0
rishikeshkonapure_home-loan-approval_class,CC0-1.0
giuliofabbri_fin-env-data_reg,Community Data License Agreement - Permissive - Version 1.0
ridhijhamb_nifty-bank-stock-prices_ts,CC0-1.0
baleshs_titanic-dataset_class,apache-2.0
stealthtechnologies_aaaaaaaaaaaaaaaaaaaaa_reg,Attribution 4.0 International (CC BY 4.0)
olegshpagin_nvidia-stock-price-prediction-dataset_ts,CC0-1.0
ulrikthygepedersen_job-profitability_reg,Attribution 4.0 International (CC BY 4.0)
bimalmann_stocks-price-prediction_ts,CC0-1.0
gaborfodor_owid-covid19_ts,Attribution 4.0 International (CC BY 4.0)
krupalpatel07_caterpillar-inc_reg,apache-2.0
fredericksalazar_global-gdp-pib-per-capita-dataset-1960-present_ts,CC-BY-NC-SA-4.0
danielmpaulo_coffee-machine-peak-frequencies_class,CC0-1.0
kapturovalexander_football-mini_reg,CC0-1.0
ggsri123_co2-emissions-from-fossil-fuels_ts,ODC Public Domain Dedication and Licence (PDDL)
whenamancodes_lucid-group-inc-lcid-stock-analysis_ts,CC0-1.0
mhassansaboor_adidas-stock-data-2006-2024_ts,CC0-1.0
willsmorgan_opendata_reg,CC0-1.0
miteshsingh11_uber-lyft-dataset-for-dsem-33201_reg,ODbL-1.0
sufyan145_middle-east-tech-salary-prediction_reg,CC0-1.0
sukritchatterjee_used-cars-dataset-cardekho_reg,Attribution-NonCommercial 4.0 International (CC BY-NC 4.0)
dipeshkhemani_airbnb-cleaned-europe-dataset_class,CC0-1.0
rinichristy_2022-fuel-consumption-ratings_class,CC0-1.0
datasciencerikiakbar_data-sistem-informasi-daya-tampung-sidata-ptn_reg,CC0-1.0
alicanpayasli_customerdata_class,CC-BY-SA-4.0
georgesaavedra_covid19-dataset_ts,CC0-1.0
sumedh1507_asthma-dataset_reg,CC0-1.0
naimishbhoi_netflix-stock-price-data-for-2023-24_reg,DbCL-1.0
syntaxstorm_used-car-prices-in-bangladesh-2024_reg,CC0-1.0
prasertk_french-luxury-companies_ts,CC0-1.0
mohansacharya_graduate-admissions_reg,CC0-1.0
samuelcortinhas_house-price-prediction-seattle_reg,CC0-1.0
tusharkute_flower-classification_class,apache-2.0
shubhammaindola_tmdb-top-rated-movies-dataset_reg,MIT
willianoliveiragibin_globalizationmobility_class,CC0-1.0
fancifulcrow_collection-of-time-series_ts,MIT
jgiigii_uscrimesdataset_ts,CC0-1.0
outofskills_driving-behavior_class,Attribution 4.0 International (CC BY 4.0)
whenamancodes_infoseccyber-security-salaries_class,CC0-1.0
miadul_dna-classification-dataset_class,CC0-1.0
marquis03_afac2023-time-series-prediction-in-finance_ts,CC-BY-NC-SA-4.0
bharatkumar0925_walmart-store-sales_ts,CC0-1.0
bakiturhan_earthquake-dataset_class,CC0-1.0
zeeshier_weather-forecast-dataset_class,CC0-1.0
monicshub_mercadolibre-drones_reg,CC0-1.0
yuriykatser_industrial-data-from-the-ladlefurnace-unit_reg,MIT
sumedh1507_us-macro-data-25yrs_reg,CC0-1.0
vbmokin_suspended-substances-prediction-in-river-water_reg,Attribution 4.0 International (CC BY 4.0)
anityagangurde_onion-price-dataset_ts,CC0-1.0
corpus4panwo_corpus4panwo_class,MIT
jainaru_dog-breeds-ranking-best-to-worst_class,CC0-1.0
imohtn_video-games-rating-by-esrb_class,CC0-1.0
tarique7_product-backorder-dataset_class,CC0-1.0
bontaaalaya_leaf-characteristcs_class,MIT
devtaz_amazoncom-inc-amzn_ts,CC0-1.0
ulrikthygepedersen_nike-shoes-sales_reg,Attribution 4.0 International (CC BY 4.0)
shawkatsujon_dhaka-bangladesh-hourly-air-quality-20162022_ts,CC0-1.0
goyaladi_customer-spending-dataset_reg,CC0-1.0
jylim21_kuala-lumpur-daily-weather-2019-2023_ts,CC0-1.0
adhamelkomy_breast-cancer_class,CC0-1.0
ulrikthygepedersen_baby-names_ts,Attribution 4.0 International (CC BY 4.0)
krairy_bitcoin-daily-price-and-vol-jul-2010-mar-2024_ts,CC0-1.0
sulphatet_diabetes-130us-hospitals-for-years-19992008_class,ODbL-1.0
venkatsairo4899_ev-charging-station-usage-of-california-city_reg,U.S. Government Works
rutiktorambe_techworks-consulting-salary-for-new-employees_reg,MIT
akshatsharmawork_smart-phones-dataset_reg,apache-2.0
joebeachcapital_tunadromd-malware-detection_class,Attribution 4.0 International (CC BY 4.0)
amirhoseinsedaghati_jfk-nyc-and-lga-weather_reg,CC0-1.0
oreoluwaojo_career-recommendation-dataset_class,apache-2.0
juandavsnchez_real-estatehousing-colombia-bogota_reg,apache-2.0
vishalmaurya850_car-price-dataset_reg,MIT
benjaminsmith_canada-inflation-rates-source-bank-of-canada_ts,CC-BY-SA-4.0
arashnic_cinema-ticket_reg,CC-BY-NC-SA-4.0
ziya07_diabetes-clinical-dataset100k-rows_class,CC0-1.0
roopahegde_cryptocurrency-timeseries-2020_ts,CC0-1.0
rabieelkharoua_predicting-manufacturing-defects-dataset_class,Attribution 4.0 International (CC BY 4.0)
amirhoseinsedaghati_jfk-ewr-and-lga-flights_reg,CC0-1.0
rabieelkharoua_predict-customer-purchase-behavior-dataset_class,Attribution 4.0 International (CC BY 4.0)
prajwaldongre_gold-futures-data-from-2012-2023_ts,CC0-1.0
evilspirit05_bengali-fake-news-dataset_class,MIT
whenamancodes_dogecoin_ts,ODbL-1.0
sezginfurkan_geophone-sensor-dataset_ts,CC0-1.0
pahuljotsingh_us-home-price-and-economic-indicators-20042024_ts,CC-BY-SA-4.0
yasserh_loan-default-dataset_class,CC0-1.0
diegobabativa_depression_class,GPL-2.0
taweilo_wine-quality-dataset-balanced-classification_class,CC0-1.0
iamsouravbanerjee_gender-development-index-dataset_class,CC BY
arsalanjamal002_student-sleep-patterns_class,CC-BY-NC-SA-4.0
mukeshmanral_univariate-time-series_ts,CC0-1.0
akshayalaxmi_coastal-inundation-data_reg,ODbL-1.0
sairamn19_gcp-cloud-billing-data_ts,Community Data License Agreement - Sharing - Version 1.0
evilspirit05_phishing-data_class,MIT
sudhanshu2198_crop-yield-prediction-hachathon_reg,MIT
zhiyueli_website-traffic-analysis_ts,Attribution-NonCommercial 4.0 International (CC BY-NC 4.0)
adityaramachandran27_world-air-quality-index-by-city-and-coordinates_class,CC-BY-NC-SA-4.0
unmoved_frack-site-data_reg,CC0-1.0
sumedh1507_blood-donor-dataset_class,CC0-1.0
die9origephit_temperature-data-albany-new-york_reg,Public Domain
kapturovalexander_ford-motor-company-vs-general-motors-company_reg,CC0-1.0
ranasabrii_customer-data_class,apache-2.0
manolisvouvakis_fuelpricesgr_ts,ODC Attribution License (ODC-By)
rivals16_mumbai-andheri-house-rent-dataset_reg,ODbL-1.0
antonkhnykin_thermal-imaging-observations_reg,Attribution-NonCommercial 4.0 International (CC BY-NC 4.0)
hussainsheikh03_cyber-threat-detection_class,CC0-1.0
debasisdotcom_parkinson-disease-detection_class,Open Database License (ODbL)
chayanonc_military-strength-by-country-2024_reg,CC0-1.0
ersany_car-price-prediction_reg,ODbL-1.0
smitisinghal_real-estate-dataset_reg,Open Database License (ODbL)
gbhjgghn_countries-dataset_class,CC0-1.0
mayankanand2701_meta-stock-price-dataset_ts,MIT
hananxx_gamestop-historical-stock-prices_ts,CC0-1.0
kingabzpro_world-vaccine-progress_reg,GPL-2.0
harmannahal_nsl-kdd-dataset_class,CC0-1.0
olegshpagin_bank-of-america-stock-price-prediction-dataset_ts,CC0-1.0
thedevastator_wind-speed-s-impact-on-spanish-power-prices_ts,CC0-1.0
tushar5harma_billboard-hot-100-songs-spotify-data-1946-2022_reg,CC0-1.0
syedali110_6-new-brics-members-sentiment-analysis_class,apache-2.0
erikkepes_supercam-calibration-dataset-20221218_reg,CC0-1.0
thedevastator_uncovering-geophysical-insights-analyzing-usgs-e_ts,CC0-1.0
ravishah1_electricity-generation-time-series_ts,CC0-1.0
michals22_berlin-bike-theft_class,CC0-1.0
ishandutta_qsar-bioconcentration-classes-data-set_class,ODbL-1.0
timerkhanovyuriy_oracle-database-metrics_ts,CC0-1.0
rahulmudgil_kolkata-temperature-and-precipitation-dataset_ts,apache-2.0
peterzakharov_synthetic-fused-fraud-dataset_class,CC-BY-SA-4.0
rabieelkharoua_asthma-disease-dataset_class,Attribution 4.0 International (CC BY 4.0)
ronaldoaf_football-matches-with-odds-from-oddsportal_reg,CC0-1.0
bhumikatandon2114_mobilepriceprediction_reg,apache-2.0
mayankanand2701_samsung-stock-price-dataset_ts,MIT
subhajournal_startups-india-investments_reg,CC0-1.0
ahmadrafiee_bank-personal-loan_class,CC-BY-SA-4.0
pritsheta_heart-attack_class,ODbL-1.0
abdelazizsami_predictive-maintenance-dataset_class,apache-2.0
yasserh_song-popularity-dataset_reg,CC0-1.0
srisahithis_multi-timeframe-ethusdt-ohlcv-data-20192024_ts,apache-2.0
mexwell_ransomware-dataset-2024_class,Attribution 4.0 International (CC BY 4.0)
prasertk_netflix-subscription-price-in-different-countries_reg,CC0-1.0
serdartafrali_persona_class,CC0-1.0
alessandrolobello_agri-food-co2-emission-dataset-forecasting-ml_reg,CC0-1.0
themrityunjaypathak_heart-disease-and-stroke-prevention_reg,CC0-1.0
sandhyakrishnan02_deutsche-bank-equity-nyq-ger-and-fra-from-2010_ts,CC0-1.0
martininf1n1ty_simple-classification-playground_class,GPL-2.0
deepankurk_flight-take-off-data-jfk-airport_reg,Community Data License Agreement - Sharing - Version 1.0
nikitamanaenkov_psychiatric-motor-activity-dataset_ts,Attribution 4.0 International (CC BY 4.0)
aidinferaz_bmkg-juanda-weather-data-janoct-2024_ts,apache-2.0
tarekmuhammed_telecom-customers_class,apache-2.0
yapwh1208_students-score_reg,CC-BY-NC-SA-4.0
thegunny86_santander-stocks-20042020_ts,CC0-1.0
akemail_blue-bike-boston-ma-bike-sharing-dataset_ts,Attribution 4.0 International (CC BY 4.0)
hemanthsai7_loandefault_class,CC0-1.0
marcpaulo_harry-potter-reviews_reg,MIT
sid321axn_audit-data_class,CC0-1.0
adilbhatti_bitcoin-and-stock-exchanges_reg,CC0-1.0
darrylljk_absenteeism-in-rural-new-south-wales-school_class,CC-BY-NC-SA-4.0
sumedh1507_us-macro-data-25yrs_ts,CC0-1.0
sakshisatre_female-diabetes-dataset_reg,apache-2.0
michelecarone_pilgrimabc_class,apache-2.0
chershi_house-price-prediction-dataset-2000-rows_reg,CC0-1.0
lbronchal_gold-and-silver-prices-dataset_ts,CC0-1.0
swarnendudutta1998ai_berkley-earthe-country-wise-data_ts,DbCL-1.0
ssismasterchief_qsar-bioconcentration-classes-dataset_class,CC0-1.0
sujithmandala_assignment_reg,Attribution 4.0 International (CC BY 4.0)
suryadeepthi_corporate-work-hours-productivity_reg,CC0-1.0
omidbehzad_easiest-mini-dataset-for-linearregression_reg,apache-2.0
fcwebdev_synthetic-cybersecurity-logs-for-anomaly-detection_ts,MIT
sudhanvahg_real-world-traffic-volume-forecasting_reg,CC0-1.0
mikolajbabula_adult-census-income-data_class,DbCL-1.0
stealthtechnologies_predict-prices-of-fruits-and-vegetables_ts,CC-BY-SA-4.0
calving23_fma-like-gtzan-for-music-genre-classification_class,CC0-1.0
electricsheepafrica_agricultural-production-in-algeria-1961-to-2023_ts,GPL-2.0
varshitanalluri_crop-price-prediction-dataset_reg,MIT
qwqextra_chrunksize_class,CC0-1.0
suwesh_iot-based-smart-parking-system-dataset_ts,ODbL-1.0
nayanack_shipping_class,CC0-1.0
abhishekdave9_digital-habits-vs-mental-health-dataset_reg,MIT
anotherbadcode_e-com-revenue_ts,CC0-1.0
priyanshu1804_packagingsuggestion_class,apache-2.0
dannyrevaldo_android-malware-detection-dataset_class,MIT
shedai_sales-person-performance_reg,apache-2.0
anyasorc_application-incident-prediction_class,MIT
ang3loliveira_malware-analysis-datasets-pe-section-headers_class,Attribution-NonCommercial 4.0 International (CC BY-NC 4.0)
swoyam2609_scrapped-image-dataset-of-fresh-and-rotten-fruits_class,Community Data License Agreement - Permissive - Version 1.0
vishwajeetvijaykale_mobile-price-prediction-very-beginner-friendly_reg,apache-2.0
mohamedzaghloula_wind-speed-prediction-dataset_reg,apache-2.0
meetnagadia_hdfc-stock-price-20002021_ts,ODbL-1.0
shelvigarg_sales-forecasting-womart-store_reg,DbCL-1.0
kennyloic_animal-species-data_class,CC0-1.0
cgyputra_bmri-jk-stock-data_ts,apache-2.0
ironsss_fuel-price-peru-2021-012023-04-weekly_reg,CC0-1.0
liamhealy_uk-savings-interest-rates_ts,MIT
jylim21_malaysia-public-data_ts,Community Data License Agreement - Permissive - Version 1.0
zeesolver_uhygtttt_class,apache-2.0
marcpaulo_sensor-data_ts,MIT
thangtranquang_stock-vn30-vietnam_ts,CC0-1.0
fahdahalalyan_covid19-ksa_ts,CC0-1.0
pooriamst_metro-interstate-traffic-volume_reg,Attribution 4.0 International (CC BY 4.0)
maha48_villas-price-dataset_reg,CC0-1.0
divyansh22_crystal-system-properties-for-liion-batteries_class,CC0-1.0
khaleeel347_harga-rumah-seluruh-kecamatan-di-kota-bandung_reg,Attribution 4.0 International (CC BY 4.0)
whenamancodes_greatest-comic-book-characters_class,CC0-1.0
bhumikatandon2114_loandata_reg,apache-2.0
vikramamin_housing-price-prediction-using-dt-and-rf-in-r_reg,CC0-1.0
alexkhr_nvidia-corp-stock-price-from-2019-01-01_ts,CC0-1.0
rhythmcam_simple-regression-dataset-2002-01-25_reg,CC0-1.0
sriharshaeedala_amazon-stock-price-from-1999-to-2022_ts,apache-2.0
calven22_shortsqueeze-stock-data_ts,CC0-1.0
msfasha_simulated-retail-sales_ts,MIT
nitishjolly_consumers-buying-behavior_class,MIT
saifsunny_revbangla_class,MIT
ulrikthygepedersen_fifa-players_reg,Attribution 4.0 International (CC BY 4.0)
tr1gg3rtrash_time-series-top-100-crypto-currency-dataset_ts,CC0-1.0
luccacastelli_uruguay-indexed-unit-dataset-2002-present_ts,Open Database License (ODbL)
pratikyuvrajchougule_health-and-lifestyle-data-for-regression_reg,MIT
thebendu_flipkart-laptop-price-dataset-refined_reg,apache-2.0
scifivyvignesh_laptop-price-estimation_reg,MIT
raphaelwallsberger_xai-drilling-dataset_class,CC-BY-NC-SA-4.0
rumblefrog_2022left4dead2_reg,CC0-1.0
krupalpatel07_facebook-stock-data_ts,apache-2.0
antoniocola_earthquake-perception-dataset_reg,Attribution 4.0 International (CC BY 4.0)
leonardo00_istanbul-traffic-index_ts,CC0-1.0
prathamtripathi_co2-emissions-by-cars-in-canada_reg,CC0-1.0
